% channel_1000_DNS_196x160x196_MTF-mtf270_task2
% dt=8.177E-04
%
% node 1: j=10, y=  4.627762402457282E-003, yplus=4.6
% node 2: j=20, y=  1.441392271941726E-002, yplus=14
% node 3: j=40, y=  6.726684638316566E-002, yplus=67
% node 4: j=60, y=  0.253501789943420,      yplus=253
%
%     u1          v1         u2          v2          u3          v3          u4          v4
  6.183814E+00  -1.554422E-01   1.041364E+01  -1.109492E+00   1.786144E+01  -2.205284E+00   2.063645E+01  -1.374601E+00
  6.076923E+00  -1.559221E-01   9.876523E+00  -1.081781E+00   1.734834E+01  -2.100131E+00   2.083919E+01  -1.228940E+00
  5.936047E+00  -1.459014E-01   9.441076E+00  -9.822931E-01   1.680237E+01  -1.903945E+00   2.090497E+01  -1.079224E+00
  5.764401E+00  -1.239170E-01   9.129052E+00  -8.155910E-01   1.626521E+01  -1.614994E+00   2.083879E+01  -9.329544E-01
  5.568365E+00  -9.086208E-02   8.925801E+00  -6.046119E-01   1.575667E+01  -1.254561E+00   2.066751E+01  -7.914713E-01
  5.357273E+00  -5.134536E-02   8.792430E+00  -3.819578E-01   1.527971E+01  -8.534963E-01   2.042909E+01  -6.524332E-01
  5.142076E+00  -1.296823E-02   8.686547E+00  -1.744884E-01   1.483348E+01  -4.342632E-01   2.016216E+01  -5.118929E-01
  4.933112E+00   1.679540E-02   8.577371E+00   5.102926E-03   1.442874E+01  -7.240885E-03   1.989857E+01  -3.658969E-01
  4.737992E+00   3.411090E-02   8.449959E+00   1.546180E-01   1.409467E+01   4.174262E-01   1.965999E+01  -2.119711E-01
  4.560604E+00   4.002885E-02   8.302665E+00   2.737445E-01   1.386981E+01   8.173430E-01   1.945807E+01  -5.051025E-02
  4.401644E+00   3.863849E-02   8.143649E+00   3.594432E-01   1.378043E+01   1.157194E+00   1.929694E+01   1.144304E-01
  4.260343E+00   3.376312E-02   7.988763E+00   4.079573E-01   1.382178E+01   1.398391E+00   1.917640E+01   2.755203E-01
  4.136569E+00   2.673431E-02   7.859808E+00   4.198007E-01   1.395978E+01   1.509676E+00   1.909423E+01   4.237773E-01
  4.032273E+00   1.664815E-02   7.781522E+00   4.021706E-01   1.415579E+01   1.474068E+00   1.904717E+01   5.507526E-01
  3.951474E+00   2.459432E-03   7.776962E+00   3.660665E-01   1.439378E+01   1.294352E+00   1.903065E+01   6.502659E-01
  3.898552E+00  -1.508976E-02   7.862366E+00   3.202639E-01   1.468620E+01   9.975796E-01   1.903790E+01   7.190697E-01
  3.875519E+00  -3.336911E-02   8.043155E+00   2.670963E-01   1.505572E+01   6.335941E-01   1.905929E+01   7.566391E-01
  3.879659E+00  -4.953162E-02   8.312322E+00   2.035463E-01   1.550919E+01   2.638932E-01   1.908249E+01   7.648593E-01
  3.902883E+00  -6.228742E-02   8.651549E+00   1.269209E-01   1.602058E+01  -5.582793E-02   1.909390E+01   7.482082E-01
  3.933379E+00  -7.203564E-02   9.034512E+00   4.084659E-02   1.653048E+01  -2.912871E-01   1.908126E+01   7.142967E-01
